Address,City,Price,Beds,Baths,SqFt,Lot Size,Year Built,Sold Date,Listing Status,URL
4504 Onondaga Ave,San Diego,835000,4,2.0,1235,7405,1954,1745996400000,Sold,https://www.redfin.com/CA/San-Diego/4504-Onondaga-Ave-92117/home/4958489
4463 Clairemont Dr,San Diego,1140000,3,2.0,1589,14200,1956,1745910000000,Sold,https://www.redfin.com/CA/San-Diego/4463-Clairemont-Dr-92117/home/4958671
4772 Mount Gaywas Dr,San Diego,975000,4,2.0,1281,6300,1960,1748415600000,Sold,https://www.redfin.com/CA/San-Diego/4772-Mount-Gaywas-Dr-92117/home/4960538
4443 Mount Castle Ave,San Diego,1043800,3,2.0,1188,6400,1958,1745910000000,Sold,https://www.redfin.com/CA/San-Diego/4443-Mount-Castle-Ave-92117/home/4961280
5229 Triana St,San Diego,1700000,5,4.0,2241,5700,1960,1743145200000,Closed Sale,https://www.redfin.com/CA/San-Diego/5229-Triana-St-92117/home/4964426
5215 Triana St,San Diego,1149000,5,2.0,1616,N/A,1960,1745996400000,Sold,https://www.redfin.com/CA/San-Diego/5215-Triana-St-92117/home/4964427
4550 Cheshire St,San Diego,1125000,3,2.0,1293,5200,1963,1744354800000,Closed Sale,https://www.redfin.com/CA/San-Diego/4550-Cheshire-St-92117/home/4964854
4729 Lithrop Pl,San Diego,915000,3,2.0,1125,9600,1965,1749625200000,Sold,https://www.redfin.com/CA/San-Diego/4729-Lithrop-Pl-92117/home/4966450
5838 Birkdale Way,San Diego,1100000,3,2.0,1436,5700,1966,1743663600000,Sold,https://www.redfin.com/CA/San-Diego/5838-Birkdale-Way-92117/home/4970177
10207 Veracruz Ct,San Diego,1100000,3,2.0,1570,N/A,1972,1744786800000,Sold,https://www.redfin.com/CA/San-Diego/10207-Veracruz-Ct-92124/home/4982183
9755 Caminito Del Marfil,San Diego,625000,2,2.5,1512,N/A,1978,1744959600000,Sold,https://www.redfin.com/CA/San-Diego/9755-Caminito-del-Marfil-92124/home/4983484
6039 Portobelo Ct,San Diego,981000,2,2.5,1427,N/A,1980,1747292400000,Sold,https://www.redfin.com/CA/San-Diego/6039-Portobelo-Ct-92124/home/4992140
4748 Renovo Way,San Diego,990000,2,2.5,1913,2207,1981,1744095600000,Sold,https://www.redfin.com/CA/San-Diego/4748-Renovo-Way-92124/home/4993001
5161 Camino Playa Portofino,San Diego,1325000,3,2.5,1826,N/A,1989,1748329200000,Sold,https://www.redfin.com/CA/San-Diego/5161-Camino-Playa-Portofino-92124/home/4995729
1164 Opal St,San Diego,2600000,4,2.5,2040,6100,1994,1744182000000,Sold,https://www.redfin.com/CA/San-Diego/1164-Opal-St-92109/home/5127612
4944 Cass St #510,San Diego,995000,2,2.0,1055,N/A,1973,1749798000000,Sold,https://www.redfin.com/CA/San-Diego/4944-Cass-St-92109/unit-510/home/5129285
